Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Buraz Burazov,@BBurazov86962,2023-04-08 19:09:20,opa updejt v resnici sem vozu bajk hehe upam da me cajkici ne dobijo!! 5,,,
Buraz Burazov,@BBurazov86962,2023-04-04 11:59:28,"naslednji teden predstavljamo seminarsko pri oiv. jaz moram naredit powerpoint, ide gas brat 6",,,
Buraz Burazov,@BBurazov86962,2023-04-03 08:44:39,Moj kolega potrebuje pomoč pri knjižnjici riekt. Končno mu lahko tudi jaz pomagam glede na to da on vedno pomaga meni pri javi :-),,,
Buraz Burazov,@BBurazov86962,2023-04-02 10:28:44,Vceraj sem pojedu lajk 20 cevapov ki so bli amejzing. Shotout kravi milki ki je umrla za njih <3,,,
Buraz Burazov,@BBurazov86962,2023-04-01 12:38:20,"danes grem na en ful fajn parti k burazu, boljse za njega da ma dost cevapov drugace bom moral pojesti njegovo macko
#bulking",,,
Buraz Burazov,@BBurazov86962,2023-03-31 14:02:44,"ta audi je kr makina. ampak ves kaj je prava makina? moj audi a4 2003 letnik z 370k prevoženimi. Dejstvo da sem sedmi lastnik pove da je tako dober da bi ga moral vsak izkusiti Audi
@AudiOfficial
·
Oct 30, 2022
The e is for electric and efficient. It may not be the racetrack but @TomK_sport has electrified his everyday life with the Audi RS e-tron GT. 

Discover more about his Audi e-tron story: http://at.audi/e-tron-stories-tom-k-gallery-tw….

 #FutureIsAnAttitude #Audi #eMobility #RSetronGT
Show this thread",,,
Buraz Burazov,@BBurazov86962,2023-03-31 13:58:34,"Vceraj sem pozabil ključe od svoje hise. Zato sem vlomil vanjo. Popravilo 500eurov, je kdo pripravljen plačat polovico?",,,
Buraz Burazov,@BBurazov86962,2023-03-31 13:52:44,notre professeur doit nous donner la meilleure note pour ce projet. Merci professeur,,,
Buraz Burazov,@BBurazov86962,2023-03-31 13:45:32,Today I could not present my java project in time to get all the points. I am deeply dissapointed and ashamed of myself,,,
Buraz Burazov,@BBurazov86962,2023-03-27 10:11:18,"ONE DAY I WILL BENCH 135 I KNOW I CAN DO IT PHIL HEATH
@PHILHEATH
·
Feb 28
One rep
One set
One workout closer! ",,,
Buraz Burazov,@BBurazov86962,2023-03-23 12:00:42,"América is not good come to dubai habibi CZ Binance
@cz_binance
·
Mar 23
» America’s banks are missing hundreds of billions of dollars | The Economist https://economist.com/finance-and-economics/2023/03/21/americas-banks-are-missing-hundreds-of-billions-of-dollars…",,,
Buraz Burazov,@BBurazov86962,2023-03-21 13:27:18,"XRP IS THE FUTURE OF CRYPTO. BITCOIN TO THE FLOOR Ripple
@Ripple
·
Mar 17
Solve real-world challenges by building tech that harnesses the power of #crypto. 

Check out our open roles like:
Staff Software Engineer, Finance Engineering
Senior Manager Engineering, Liquidity
 Director of Security Engineering and Operations
https://on.ripple.com/3BhvZoM",,,
Buraz Burazov,@BBurazov86962,2023-03-21 13:25:40,"My friends password is ""lightweightbaby123"". use him",,,
