Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Elon Musk,@elonmusk,2023-03-31 07:59:41,"Works (almost) every time 1,855
1,509
23.5K
2.7M","1,509","1,855",23.5K
Elon Musk,@elonmusk,2023-03-31 05:56:45,"Algorithm goes open source at noon Pacific Time 6,390
15.3K
144.2K
31.7M",15.3K,"6,390",144.2K
Elon Musk,@elonmusk,2023-03-31 05:45:41,"If you don’t like reality, just ignore it 21.6K
67.9K
355.8K
52.5M",67.9K,21.6K,355.8K
Elon Musk,@elonmusk,2023-03-31 02:36:34,"Important to establish whether someone actually belongs to an organization or not so as to avoid impersonation Twitter Verified
@verified
·
12h
Verified Organizations is a new way for organizations and their affiliates to distinguish themselves on Twitter. Rather than relying on Twitter to be the sole arbiter of truth for which accounts should be verified, vetted organizations that sign up for https://T.co/VerifiedOrgs… Show more","7,090","4,698",72.2K
Tesla Europe,@tesla_europe,2023-03-30 18:57:30,"Brewed for cyborgs, made by humans—Giga Bier now available → https://gigabier.tesla.com/en_ie/gigabier ","1,311",722,"9,800"
Elon Musk,@elonmusk,2023-03-30 06:37:44,"Old joke about agnostic technologists building artificial super intelligence to find out if there’s a God.

They finally finish & ask the question.

AI replies: “There is now, mfs!!” 16K
24.4K
207.8K
48.5M",24.4K,16K,207.8K
SpaceX,@SpaceX,2023-03-29 22:34:24,"Starlink ahora disponible en Ecuador → starlink.com
Starlink
SpaceX is developing a low latency, broadband internet system to meet the needs of consumers across the globe. Enabled by a constellation of low Earth orbit satellites, Starlink will provide fast,...","2,276",492,11.7K
SpaceX,@SpaceX,2023-03-29 20:10:36,Falcon 9’s first stage has landed on the Just Read the Instructions droneship ,"3,407","1,210",26.8K
SpaceX,@SpaceX,2023-03-29 20:01:51,Liftoff! ,"2,944",742,25.8K
Elon Musk,@elonmusk,2023-03-28 19:38:23,"Forgot to mention that accounts you follow directly will also be in For You, since you have explicitly asked for them 13.1K
12K
110.9K
25.6M",12K,13.1K,110.9K
Elon Musk,@elonmusk,2023-03-28 04:11:53,"Of course, you need to have good customer service for money. 

Working on it … 8,142
7,058
84.3K
17.4M","7,058","8,142",84.3K
Elon Musk,@elonmusk,2023-03-28 03:22:28,I’m old enough to remember ,31.4K,14.7K,355.4K
Elon Musk,@elonmusk,2023-03-28 01:55:02,"That said, it’s ok to have verified bot accounts if they follow terms of service & don’t impersonate a human 4,430
3,946
30.6K
8.6M","3,946","4,430",30.6K
Elon Musk,@elonmusk,2023-03-27 23:54:57,"Starting April 15th, only verified accounts will be eligible to be in For You recommendations.

The is the only realistic way to address advanced AI bot swarms taking over. It is otherwise a hopeless losing battle.

Voting in polls will require verification for same reason. 54.6K
89.9K
208.9K
108.6M",89.9K,54.6K,208.9K
Elon Musk,@elonmusk,2023-03-27 18:12:29,The good old days ,21.2K,10.3K,284.3K
Elon Musk,@elonmusk,2023-03-27 10:59:56,"To get Blue Check Verified for $7/month, sign up via web at https://T.co/blue 9,676
6,490
41.7K
16.6M","6,490","9,676",41.7K
Elon Musk,@elonmusk,2023-03-27 10:28:54,"Replying to 
@CatherinScience That we extend consciousness to the stars and understand the Universe","3,652","7,131",24.7K
Elon Musk,@elonmusk,2023-03-27 03:48:31,"Given that modern AI can solve any “prove you’re not a robot” tests, it’s now trivial to spin up 100k human-like bots for less than a penny per account.

Paid verification increases bot cost by ~10,000% & makes it much easier to identify bots by phone & CC clustering.

Obvious… Show more 13.1K
13.2K
115K
31.2M",13.2K,13.1K,115K
Elon Musk,@elonmusk,2023-03-27 03:05:24,"It’s more about treating everyone equally. There shouldn’t be a different standard for celebrities imo. William Shatner
@WilliamShatner
·
Mar 26
Hey @elonmusk what’s this about blue checks going away unless we pay Twitter? I’ve been here for 15 years giving my  & witty thoughts all for bupkis. Now you’re telling me that I have to pay for something you gave me for free? What is this-the Colombia Records & Tape Club?",11.4K,12.3K,99.1K
Elon Musk,@elonmusk,2023-03-27 01:57:41,"Prescient Massimo
@Rainmaker1973
·
Mar 26
Arthur C. Clarke about the future of AI. 
—21 September 1964

[source, BBC Archive: https://buff.ly/40DpIgE]",10.8K,"5,462",60.1K
Elon Musk,@elonmusk,2023-03-27 01:54:37,Blooper reel must be amazing ,36.1K,12.5K,459.1K
Elon Musk,@elonmusk,2023-03-25 20:53:43,"Big congratulations to the Tesla Germany team!! Tesla
@Tesla
·
Mar 25
Giga Berlin hits 5k builds/week—1 year after delivering the first vehicles to customers
Show this thread
0:26
6.1M views",10.2K,"6,560",122.4K
Elon Musk,@elonmusk,2023-03-24 22:38:20,"20 launches done, 70+ for rest of year SpaceX
@SpaceX
·
Mar 24
Falcon 9 launches Starlink to orbit, completing our 20th launch of the year","8,277","6,230",85.7K
Elon Musk,@elonmusk,2023-03-24 22:16:08,No but how’s your day ,10.2K,10.3K,128.6K
SpaceX,@SpaceX,2023-03-24 15:52:16,Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship ,"4,136","1,426",36.9K
SpaceX,@SpaceX,2023-03-24 15:43:59,Liftoff! ,"3,386",947,30.2K
Elon Musk,@elonmusk,2023-03-24 09:38:38,I’m sure it will be fine ,34.2K,17.9K,317K
Elon Musk,@elonmusk,2023-03-24 07:37:52,"To get Blue Verified for $7/month, sign up via web browser at https://T.co/blue 10.1K
6,603
44.4K
16.9M","6,603",10.1K,44.4K
Elon Musk,@elonmusk,2023-03-24 07:01:55,"Any individual person’s Twitter account affiliated with a verified organization is automatically verified Twitter Verified
@verified
·
Mar 23
On April 1st, we will begin winding down our legacy verified program and removing legacy verified checkmarks. To keep your blue checkmark on Twitter, individuals can sign up for Twitter Blue here: https://twitter.com/i/twitter_blue_sign_up… 

Organizations can sign up for https://twitter.com/i/en/verifiedorganizations/apply…… Show more","3,520","2,620",25.8K
Elon Musk,@elonmusk,2023-03-24 06:55:12,"Clippy is the real paperclip problem 2,972
3,024
38.2K
11.5M","3,024","2,972",38.2K
Elon Musk,@elonmusk,2023-03-24 05:34:31,"As part of their investment, Microsoft gained exclusive access to the entire OpenAI codebase 10.9K
19K
147.5K
32.3M",19K,10.9K,147.5K
Elon Musk,@elonmusk,2023-03-24 05:27:17,"Sure would be ironic if civilization ended because of a fight over browser/search market share 6,129
9,159
94.7K
18.8M","9,159","6,129",94.7K
Elon Musk,@elonmusk,2023-03-23 21:31:38,"Twitter Verified now available worldwide! Twitter Blue
@TwitterBlue
·
Mar 23
Twitter Blue is now available globally! Sign up today to get your blue checkmark, prioritized ranking in conversations, half ads, long Tweets, Bookmark Folders, custom navigation, Edit Tweet, Undo Tweet, and more. Sign up here: https://twitter.com/i/twitter_blue_sign_up…","8,089","7,283",53.3K
SpaceX,@SpaceX,2023-03-23 00:03:47,"Starlink is now available in Haiti → starlink.com
Starlink
SpaceX is developing a low latency, broadband internet system to meet the needs of consumers across the globe. Enabled by a constellation of low Earth orbit satellites, Starlink will provide fast,...","3,237","2,069",22.2K
Elon Musk,@elonmusk,2023-03-22 03:28:10,"And if you have enough rooftop solar, you can go off grid for most of year in high latitudes & whole year in low latitudes 4,719
3,546
41.5K
5.8M","3,546","4,719",41.5K
Elon Musk,@elonmusk,2023-03-22 03:24:26,"Tesla Powerwall enables your home to operate normally during a power outage tesla.com
Powerwall | Tesla
Powerwall is a home battery designed to store energy from solar or the grid, so you can use it anytime you want—at night or during an outage.",10.3K,"8,097",88.1K
Twitter Safety,@TwitterSafety,2023-03-21 19:06:15,"We recently partnered with 
@Sprinklr
 for an independent assessment of hate speech on Twitter, which we’ve been sharing data on publicly for several months.

Sprinklr’s AI-powered model found that the reach of hate speech on Twitter is even lower than our own model quantified  1,913
3,243
17.8K
6.3M","3,243","1,913",17.8K
