Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Project_BTC,@theProjectBTC,2023-03-28 09:26:52,"my next 2 swing on #Bitcoin 
-Long on backtest and reclaim of the top of the range
-Short if acceptance under the range high ",,1,1
Bitflex,@Bitflex,2023-03-28 09:20:25,Bitcoin's dominance in the world of cryptocurrency is undeniable! Check out these popular brands worldwide that have embraced #Bitcoin  payments  ,1,1,4
Crypto Multistream,@CryptoMStream,2023-03-28 09:17:57,"Latest: 
@cz_binance
 has denied allegations from the U.S. commodities regulator, including claims that Binance trades for profit and engages in market manipulation.

Source: 
@Crypto_Crib_
#Binance #ChangpengZhao #Bitcoin #BTC # #ETH #NFT #NFTCommunity #USDT #NFTGiveaway 3
7
33",,3,7
Peter McCormack,@PeterMcCormack,2023-03-28 08:14:17,"What is 
@elonmusk
's solution to journalists that operate under a Nym? 

Centralised systems are at risk of hacking, if Twitter require a Nym to pay $7, they risk having their identity exposed. 

#bitcoin is an obvious answer. 29
11
116
11.8K",11,29,116
Andrejs Hmelovs,@AndrejsHmelovs,2023-03-28 08:06:03,"If the price of #Bitcoin goes below $26,000  ",,4,11
Bitcoin News,@BTCTN,2023-03-28 07:31:50,"Tim Draper, a well-known venture capitalist and #Bitcoin enthusiast, has recommended bitcoin and other #cryptocurrencies as part of his cash diversification advice for business founders. news.bitcoin.com
Bitcoin Millionaire Tim Draper Advises Startups to Keep Bitcoin as a Hedge Against a 'Domino' Run...
Tim Draper, a venture capitalist, has included bitcoin as part of a series of cash management recommendations offered to startup founders.",36,57,120
Stack Hodler,@stackhodler,2023-03-28 06:52:44,"Choose your fighter:

Parabolic issuance shitcoin with senile devs and pathetic tokenomics.

Fixed supply #Bitcoin protected by a wall of encrypted energy and an army of freedom-loving node operators. ",63,19,296
The Bitcoin,@romoolo,2023-03-28 06:35:37,Studying #Bitcoin will power up your brain Crox Road | Bitcoin Newsletter,11,8,49
Bitcoin News,@BTCTN,2023-03-28 06:01:50,"3,655 #bitcoin worth more than $99 million were withdrawn from #Binance over the past day, according to Coinglass metrics. news.bitcoin.com
Binance Experiences Significant BTC, ETH, and Stablecoin Withdrawals Following CFTC Lawsuit –...
3,655 bitcoin worth more than $99 million were withdrawn from Binance over the past day, according to Coinglass metrics.",77,66,224
Mr Anderson,@neodowjones,2023-03-28 05:57:58,"The name of the game has always been control anon. This is why they want to roll out CBDCs. #Bitcoin is the exit. Sound on  From 
Watcher.Guru",2,5,9
Teruko,@TerukoNeriki,2023-03-28 05:01:49,"2 yrs ago, 
@wiz
 and I donated ""The Bitcoin Standard"" by 
@saifedean
 to dozens of university libraries.
Today, a student, who found the book at his uni (a topnotch school btw) and realized the grand scam, attended the commencement dressed literally in #Bitcoin . So proud of him. 規則正しい生活(KS)
@itigithicket
·
19h
『ビットコイン・スタンダード』は、オーストリア学派の貨幣論・国家論に基づいて、#BTC の意義を説く入門書。タイトルは、金本位制(ゴールド・スタンダード)のアナロジー。
2021年の夏に読んで衝撃を受け、終には京大の卒業式で #BTC の顔出しパネルを作るに至った。私の大学生活の最重要書である。  twitter.com/terukoneriki/s…",10,7,76
CryptoJack,@cryptojack,2023-03-28 05:00:22,"Every country will become a #bitcoin country. 125
41
123
3,915",41,125,123
LanaLightning,@LanaDBTC,2023-03-28 04:27:10,"Choosing the right #Bitcoin Lightning Wallet:

What's most important to you? 
User friendly design?
Unified interface for both on-chain and off-chain transactions?
Open Source?
Custodial vs Non Custodial? learn.heyapollo.com
Top Mobile Lightning Bitcoin Wallets: In-Depth Comparison and Pros & Cons for Bitcoiners -Apollo
Discover the best mobile Lightning Bitcoin wallets designed for Bitcoin enthusiasts. Compare features, usability, and security",9,10,32
Peter McCormack,@PeterMcCormack,2023-03-28 03:52:31,"First signs of Greenpeace backing down.

Next step is to educate them with facts….they could be a strong ally for destroying the anti-#bitcoin FUD.

Embrace what comes next! Greenpeace USA
@greenpeaceusa
·
10h
It will take People Power to #CleanUpBitcoin -environmentalists, policymakers, utility regulators, and power grid operators ""can help ensure cryptocurrency mining does not undermine climate or health goals, or adversely impact ratepayers."" Let's talk.  

https://bit.ly/3Mdn2T1
Show this thread",18,43,276
tedtalksmacro,@tedtalksmacro,2023-03-28 03:48:59,"Just like every other #Bitcoin cycle, the current has it's nuances. However, I'd think we're currently trading in an environment akin to September - November 2019.

Fed in 2019:
- Cut rates 3x by October
- Began expanding balance sheet in September

Fed in 2023:
- Begin expanding… ",109,55,525
Lark Davis,@TheCryptoLark,2023-03-28 02:00:02,"The system is broken, it has been for a long time.

This is why we #bitcoin 96
46
500
26.4K",46,96,500
LanaLightning,@LanaDBTC,2023-03-28 01:02:01,"Bill Gates in the mid 90s attempting to explain the concept of the Internet on the Late Night Show, only to be mocked by the host.

The parallels to #Bitcoin are obvious for anyone paying attention. 2:00
6,452 views",59,24,263
Ripple Van Winkle | XRP Researcher |,@XRPNews_,2023-03-28 00:53:00,"Ripple #XRP News - XRP BREAKS TRENDLINE! 

NASDAQ ANNOUNCES CRYPTO STRATEGY! #Bitcoin #XRP #Ethereum 

G7 TO PUSH FOR CRYPTO REGS!

Video Below
https://youtu.be/GdWfsWa8yYM ",20,9,100
"Trent Dudenhoeffer, CFP®",@_tdudenhoeffer,2023-03-28 00:23:10,"Tokenized securities on #bitcoin L2s are going to blow the brains out of people's butts.

•Instant settlement
•Extremely low friction & cost
•Worldwide participation
•Easier funding access for companies

It's going to be really fun. 19
6
74
4,419",6,19,74
Robert Genito,@RobertGenito,2023-03-27 23:19:56,"Sooo this is pretty awesome.  Imagine if you got into #Bitcoin when it was only 100 days old.  You can do that today with #Genius! $GENI

Check out https://geni.app for links on info, buying, and using #GENI.  And check out this video :) Dylan LeClair
@DylanLeClair_
·
Mar 24
#Bitcoin
Show this thread
1:29
114.5K views",9,2,25
The Bitcoin,@romoolo,2023-03-27 22:30:01,#Bitcoin is ALL of these ,17,13,101
Elisa,@elisacardoso9,2023-03-27 22:27:49,"#Bitcoin is love for humanity

and love always wins in the end  ",4,13,21
Bitcoin Magazine,@BitcoinMagazine,2023-03-27 22:25:04,"Fiat controls you 

#Bitcoin sets you free ",645,169,"2,862"
Kristina Keller,@Crypto__Diva,2023-03-27 21:35:39,"Which of these will happen first? 

#Bitcoin : $70,000 
#Ethereum: $8,000 
#BNB : $1,000
#Solana: $500 
#Chainlink: $80
#Polkadot: $80
#MEE: $1
#Matic: $5
#Cardano: $4
#XRP: $3
#Dogecoin: $1 
#Vechain: $1 
#CRO : $1 
#Shib: $1
#PiNetwork :$3145 335
83
438
30.8K",83,335,438
Lilsanchez,@capitacrypto,2023-03-27 21:14:17,"Truth is you only can afford to be a #Bitcoin maxi when you already rich. Even $50k in #BTC won’t make you rich in a reasonable time frame. But $1000 in quality alts can. 163
19
104
12.9K",19,163,104
yourfriendSOMMI,@yourfriendSOMMI,2023-03-27 21:12:00,"Daytrading since 2011 & spent infinite hours watching orderflow daily.

In 2018, when I joined Crypto (BitMEX #Bitcoin), I knew within 3 days that BitMEX were trading against everyone.

I could tell OkeX had fake bids + offers w/ fake volume.

I also could tell FTX was… ",10,23,125
Ru ⚡︎ ࿊,@bitcoinrow,2023-03-27 20:51:30,"Until what price will you say that #Bitcoin is cheap? 98
3
66
13.9K",3,98,66
Simon Dixon,@SimonDixonTwitt,2023-03-27 20:49:51,"Navigating current US regulations as a #Bitcoin or #crypto company  From 
Idiots In Cars",96,76,607
Mitchell,@MitchellHODL,2023-03-27 19:59:21,"If #Bitcoin blows past previous ATH and then past $100k, I don’t see any reason why it wouldn’t just keep pumping to $1m.

Those smart enough to stack during the bear are not gonna be so dumb as to sell their BTC during a banking crisis.

Supply will remain sticky and normie… 19
7
76
2,391",7,19,76
Enzooo,@HumpDayWeb3,2023-03-27 19:18:00,"What a good day to buy #Bitcoin  15
8
88
6,743",8,15,88
AKA K-MOTO,@akakmoto,2023-03-27 19:16:20,"*A nature 'who-dunnit' in 19secs*

Dear bt, I got pretty high today. Falling behind on replies... I'll get to it

This deserves an Oscar for best short
Great storytelling!!

Its like how you react to a stranger being into #Bitcoin at a party only to find out they also like Eth. ",1,10,8
Satoshistore.io,@SatoshiStoreio,2023-03-27 18:42:56,"drink your daily rat poison out of the #SkullofSatoshi mug 

#bitcoin ",24,21,142
Ash WSB,@Ashcryptoreal,2023-03-27 18:39:20,"Drop your #Bitcoin address below 
and make sure you are following me 

Don’t ask why  3,478
873
2,815
325.6K",873,"3,478","2,815"
Crypto Engineer,@Engineercryptoo,2023-03-27 17:53:12,"#bitcoin update

#Bitcoin after making all time high at 68.5k$, we have formed local bottom at 15.6k$, from there we have done a decent recovery and in meanwhile we have given many High Quality calls and successfully achieved good profits too. 
Right now bitcoin is facing fib.… ",22,29,42
Crypto Rover,@rovercrc,2023-03-27 17:42:53,"Ignore the FUD! 

#Binance #Bitcoin ",356,319,"2,570"
StackchainBuddha,@StakchainBuddha,2023-03-27 17:42:49,"You don’t matter to #Bitcoin

You DO matter to the people you introduce to #Bitcoin

Don’t confuse the 2,  your actions matter 13
4
24
787",4,13,24
Davinci Jeremie,@Davincij15,2023-03-27 17:42:22,"Convert to #Bitcoin because this is cominng. 4:44
3.6M views
From 
Hum₿le Warrior",442,117,"1,501"
Shaun,@Sk280488,2023-03-27 17:37:20,"The building of our headquarters has officially begun! Exciting times ahead for the #GroveGreenArmy!
More updates will come as we progress! 

#GroveCoin #GroveHQ #GroveBlockchain #GroveSwap #GroveKeeper #Bnb #Eth #Bitcoin #CryptoNews GroveCoin Official and 9 others",72,40,211
The Bitcoin,@romoolo,2023-03-27 17:30:00,#Bitcoin is home  ,18,23,134
Nabin Gyawali,@nabingyawali0,2023-03-27 17:19:41,"Do you want 1000 Sats? retweet, tag 2 friends and only comment your noah lighting address (eg: nabingyawali0@noah.me )to stack more Sats! If you don't have noah lighting address just create new wallet from link below and  join #Sats #Bitcoin #Giveaway app.noah.com
NOAH: The Money App of the Future
Login, access your account, and be the first to test our live beta!",11,22,16
Crox Road | Bitcoin Newsletter,@croxroadnews,2023-03-27 17:00:03,Join the #Bitcoin  revolution - where everyone is welcome. ,7,7,15
British HODL,@BritishHodl,2023-03-27 16:37:31,"There is not a chance that the powers that be will let Binance survive in a world where #Bitcoin is being adopted by the United States and while Bitcoin is the only escape hatch for further American Dominance.

Get your funds OFF Binance. Been saying this for months. 19
12
73
3,847",12,19,73
Ray Youssef,@raypaxful,2023-03-27 16:33:13,"Said this a year ago 
@TheBitcoinConf
 and it’s never been truer.. We have a long way to go but we keep building ! #Bitcoin 1:16
9,977 views",32,32,180
Sir Bud Fox,@2billiondollarz,2023-03-27 16:20:57,"Never thought I’d ever have to tweet this again, but we will never see #bitcoin above $28K 27
49
10.9K",,27,49
Hashley Giles,@Jcastweet,2023-03-27 16:08:22,"I cannot understand why people tweet about #Bitcoin price after small and meaningless upward and downward moves. It’s a waste of time. 27
5
85
3,318",5,27,85
Bitcoin Magazine,@BitcoinMagazine,2023-03-27 16:05:29,"JUST IN:  Chinese banking giants seeking partnerships with #Bitcoin and crypto firms in Hong Kong after China mainland ban - Bloomberg  242
1,336
5,537
393.8K","1,336",242,"5,537"
Dennis Porter,@Dennis_Porter_,2023-03-27 16:00:22,GreenPeace should make more art work about #Bitcoin. ,140,47,991
THE GREEK DEFI GURU,@GREEKVULCANGURU,2023-03-27 15:51:20,"#Vulcan #vulcanblockchain #vul #Vullish 
@VulcanChain
 #Bitcoin  #Ethereum #Crypto #blockchain

LIKE AND RETWEET 

WHO IS EXCITED FOR OOXY? DROP A LIKE IF YOU WILL BE SACRIFICING. RETWEET IF YOU BELIEVE VULCAN BLOCKCHAIN IS THE FUTURE. ",41,28,76
Alexander the Bitcoin,@AlexandertheBTC,2023-03-27 15:48:57,"OMFG #Bitcoin broke $27,000??? Down over 3%! 

#Bitcoin is DEAD!!!!!! 27
4
105
2,778",4,27,105
TAnalyst,@AurelienOhayon,2023-03-27 15:45:57,#BITCOIN IS READY FOR A MASSIVE BULL RUN. ,480,126,"1,995"
ElonMartian,@ElonMartians,2023-03-27 15:38:12," Buy the dip  

#Bitcoin #ETH #BNB $DOGE #BABYDOGE #DogelonMars $ELON ",8,15,30
Andrejs Hmelovs,@AndrejsHmelovs,2023-03-27 15:33:14,"When buy #Bitcoin > $28,000  0:06
391 views",3,13,28
Crypto Rover,@rovercrc,2023-03-27 15:29:00,"MicroStrategy now owns 138,955 #Bitcoin worth $3,800,000,000  98
115
666
31.3K",115,98,666
CoinGecko,@coingecko,2023-03-27 15:18:01,"#bitcoin down -4.3% , dips below $27,000 as concerns loom around Binance and CFTC over regulatory violations ",92,104,496
CoinDesk,@CoinDesk,2023-03-27 15:10:15,"JUST IN: The 
@CFTC
 has filed suit against leading crypto exchange 
@binance
 and its CEO 
@cz_binance
. The price of #bitcoin is plunging on the news.
@oknightcrypto
 reports coindesk.com
CFTC Sues Binance, CZ Over 'Willful Evasion' of U.S. Laws, Unregistered Crypto Derivatives Products
The CFTC alleged Binance offered unregistered crypto derivatives products and directed U.S. customers to evade compliance controls through the use of VPNs.",345,152,724
Bitcoin News,@BitcoinNewsCom,2023-03-27 15:03:24,#Bitcoin is for those who go out and do Wojak Bitcoin Memes,43,21,171
Mintlayer,@mintlayer,2023-03-27 14:52:39,"400 days and counting #Bitcoin #bitcoinhalving Bitcoin Magazine
@BitcoinMagazine
·
22h
JUST IN: Less than 400 days until the next #Bitcoin halving

Plan accordingly 
Show this thread",28,11,525
Crypto Bitcoin CT,@CryptoBitcoinCT,2023-03-27 14:30:48,"#Matic is slowly and quietly moving towards our lower support, our ideal place for purchase. 

$Matic #maticusdt #maticbusd #Polygon #Bitcoin #Binance #Altcoin #Crypto ",8,38,149
JUICYY,@JUICYYGEM100X,2023-03-27 14:24:29,"there must be at least one #bitcoin

#NFA GIF
ALT",10,18,33
Bitcoin for Freedom,@BTC_for_Freedom,2023-03-27 14:02:09,"#bitcoin is so good that it turned Microstrategy into a bitcoin company. 43
49
549
14.1K",49,43,549
