Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Elon Musk,@elonmusk,2023-03-24T07:37:52.000Z,"To get Blue Verified for $7/month, sign up via web browser at https://T.co/blue 2,747
1,845
10.3K
2.1M","1,845","2,747",10.3K
Elon Musk,@elonmusk,2023-03-24T07:01:55.000Z,"Any individual person’s Twitter account affiliated with a verified organization is automatically verified Twitter Verified
@verified
·
10h
On April 1st, we will begin winding down our legacy verified program and removing legacy verified checkmarks. To keep your blue checkmark on Twitter, individuals can sign up for Twitter Blue here: https://twitter.com/i/twitter_blue_sign_up… 

Organizations can sign up for https://twitter.com/i/en/verifiedorganizations/apply…… Show more","1,252","1,074","7,636"
Elon Musk,@elonmusk,2023-03-24T06:55:12.000Z,"Clippy is the real paperclip problem 1,529
1,187
11.2K
2.1M","1,187","1,529",11.2K
Elon Musk,@elonmusk,2023-03-24T05:34:31.000Z,"As part of their investment, Microsoft gained exclusive access to the entire OpenAI codebase 4,471
6,768
50.1K
7.1M","6,768","4,471",50.1K
Elon Musk,@elonmusk,2023-03-24T05:27:17.000Z,"Sure would be ironic if civilization ended because of a fight over browser/search market share 2,772
3,600
30.6K
4.2M","3,600","2,772",30.6K
Elon Musk,@elonmusk,2023-03-23T21:31:38.000Z,"Twitter Verified now available worldwide! Twitter Blue
@TwitterBlue
·
13h
Twitter Blue is now available globally! Sign up today to get your blue checkmark, prioritized ranking in conversations, half ads, long Tweets, Bookmark Folders, custom navigation, Edit Tweet, Undo Tweet, and more. Sign up here: https://twitter.com/i/twitter_blue_sign_up…","6,662","6,264",42.2K
SpaceX,@SpaceX,2023-03-23T00:03:47.000Z,"Starlink is now available in Haiti → starlink.com
Starlink
SpaceX is developing a low latency, broadband internet system to meet the needs of consumers across the globe. Enabled by a constellation of low Earth orbit satellites, Starlink will provide fast,...","2,730","1,771",18.8K
Elon Musk,@elonmusk,2023-03-22T03:24:26.000Z,"Tesla Powerwall enables your home to operate normally during a power outage tesla.com
Powerwall | Tesla
Powerwall is a home battery designed to store energy from solar or the grid, so you can use it anytime you want—at night or during an outage.","9,841","7,704",83.8K
Elon Musk,@elonmusk,2023-03-22T03:28:10.000Z,"And if you have enough rooftop solar, you can go off grid for most of year in high latitudes & whole year in low latitudes 4,370
3,187
38K
4.8M","3,187","4,370",38K
Elon Musk,@elonmusk,2023-03-17T22:00:05.000Z,"Take that, ChatGPT! 2,026
2,706
38.7K
4.3M","2,706","2,026",38.7K
Elon Musk,@elonmusk,2023-03-17T21:01:39.000Z,"Twitter will open source all code used to recommend tweets on March 31st 6,285
20.8K
151.8K
28.9M",20.8K,"6,285",151.8K
Elon Musk,@elonmusk,2023-03-17T21:16:06.000Z,"Our “algorithm” is overly complex & not fully understood internally. People will discover many silly things , but we’ll patch issues as soon as they’re found!

We’re developing a simplified approach to serve more compelling tweets, but it’s still a work in progress. That’ll also… Show more 4,845
9,090
93.6K
9.6M","9,090","4,845",93.6K
Elon Musk,@elonmusk,2023-03-16T19:55:48.000Z,Describes a significant portion of this platform ,14K,"9,694",124.3K
Elon Musk,@elonmusk,2023-03-16T19:52:33.000Z,"It’s exciting to see more & more public figures engaging in active dialogue on this platform! 

Sure, people will say foolish things from time to time (myself especially), but that’s way better than silence or sanitized “press releases” that’re basically just boring propaganda. 7,892
20.4K
164K
18.4M",20.4K,"7,892",164K
Elon Musk,@elonmusk,2023-03-16T19:46:44.000Z,"Best way to fight misinformation is to respond with accurate information, not censorship 23.1K
64.3K
371.1K
34.6M",64.3K,23.1K,371.1K
Elon Musk,@elonmusk,2023-03-16T19:41:37.000Z,"If other party is always wrong
And your party is always right
You are at least partly wrong 9,332
13.3K
118.2K
18.3M",13.3K,"9,332",118.2K
Tesla,@Tesla,2023-03-16T19:15:52.000Z,Ultra Red ,"4,826","2,574",59.3K
Elon Musk,@elonmusk,2023-03-16T17:10:48.000Z,"You’re terrible & I love you 17.2K
23.4K
166.7K
33.8M",23.4K,17.2K,166.7K
Elon Musk,@elonmusk,2023-03-16T17:50:09.000Z,"*not terrible 2,781
1,493
25.5K
4.8M","1,493","2,781",25.5K
Elon Musk,@elonmusk,2023-03-16T16:44:11.000Z,"It’s kinda flattering to be insulted on this site tbh 15.7K
12.2K
146K
30.4M",12.2K,15.7K,146K
Elon Musk,@elonmusk,2023-03-16T07:12:32.000Z,"You can ring my bell, ring my bell 16.3K
9,774
113.4K
26.5M","9,774",16.3K,113.4K
Elon Musk,@elonmusk,2023-03-16T06:28:48.000Z,"Mis An Thropic Thunder 3,410
2,826
35.2K
14.1M","2,826","3,410",35.2K
Elon Musk,@elonmusk,2023-03-16T00:29:27.000Z,"Microsoft fired their AI safety team? arstechnica.com
Report: Microsoft cut a key AI ethics team
Expert calls decision ""damning,"" says it's time for regulators to get involved.",13.2K,"8,242",72.3K
Elon Musk,@elonmusk,2023-03-10T23:18:05.000Z,"Free Jacob Chansley Chuck Callesto
@ChuckCallesto
·
Mar 10
JUST IN: Censored video re-emerges of Jacob Chansley reading Trump’s tweet, telling protestors to GO HOME and remain peaceful.. 

WON’T SEE THIS ON CNN…
Show this thread",93K,22.2K,328.2K
Elon Musk,@elonmusk,2023-03-10T00:16:05.000Z,"To be alerted about new tweets from any account, tap the bell symbol on the profile page ","8,384",11.3K,78K
SpaceX,@SpaceX,2023-03-09T21:21:36.000Z,"Falcon 9 launches 40 
@OneWeb
 satellites to orbit, first stage booster returns to Earth ","3,648",971,32.8K
Elon Musk,@elonmusk,2023-03-09T17:04:16.000Z,"Concerning Matt Taibbi
@mtaibbi
·
Mar 9
1.  TWITTER FILES:
 Statement to Congress
THE CENSORSHIP-INDUSTRIAL COMPLEX
Show this thread",33.8K,10K,142.7K
Elon Musk,@elonmusk,2023-03-09T09:50:55.000Z,Sometimes we miss here at Starbase ,"4,928","5,173",93.5K
Elon Musk,@elonmusk,2023-03-08T22:37:43.000Z,  ,31.5K,16.5K,371.6K
Elon Musk,@elonmusk,2023-03-08T21:56:55.000Z,"<Insert Cartridge> 
<Run Program> ",30.3K,22.8K,363.9K
Teslaconomics,@Teslaconomics,2023-03-08T00:16:28.000Z,"Twitter will be the place where world participants go to find the truth with the least amount of error. 
@elonmusk ","6,637","4,587",44.8K
Gail Alfar,@GailAlfarATX,2023-03-07T20:04:16.000Z,"“We don’t want to be one of those lame, one-planet, civilizations, please!!” - 
@elonmusk
 today live on Morgan Stanley Conference.   ","2,288","1,299",18.5K
Elon Musk,@elonmusk,2023-03-07T18:49:05.000Z,"Livestream interview in 15 mins at Morgan Stanley Conference https://event.webcasts.com/starthere.jsp?ei=1603299&tp_key=5994a5da5f… 3,861
3,698
29.9K
17.7M","3,698","3,861",29.9K
New York Post,@nypost,2023-03-07T01:22:17.000Z,Footage shows Capitol cop Brian Sicknick uninjured on Jan. 6 https://trib.al/XukSaQ8 ,13.9K,"3,225",53.1K
New York Post,@nypost,2023-03-07T11:58:26.000Z,Today's cover: Jan. 6 footage shows Capitol cops escorting QAnon Shaman to Senate floor https://trib.al/G8LBB9C ,22.4K,"3,086",70.4K
Elon Musk,@elonmusk,2023-03-01T22:16:01.000Z,"Detailed whitepaper with calculations & assumptions to be released by Tesla shortly 2,393
2,564
36.5K
5.8M","2,564","2,393",36.5K
Tesla,@Tesla,2023-03-01T21:32:08.000Z,"Tesla’s purpose is to accelerate the world’s transition to sustainable energy 

Today, we’re unveiling Master Plan 3—the path to a fully renewable energy future for  ","4,160","1,223",27.2K
Elon Musk,@elonmusk,2023-03-01T21:24:19.000Z,"… Tesla
@Tesla
·
Mar 1
Tesla Investor Day https://twitter.com/i/broadcasts/1ynJOaWDYYzKR…","3,307","2,356",29.1K
Elon Musk,@elonmusk,2023-03-01T21:15:10.000Z,"You’re not gonna believe this, but we’re running a little late! 

Presentation starts in ~5 mins. Tesla
@Tesla
·
Feb 28
Tesla Investor Day streaming live on Twitter & YouTube at 3pm CT tomorrow","3,261","3,370",38.7K
Elon Musk,@elonmusk,2023-03-01T06:25:20.000Z,"What do you call an infinite gear ratio?
All torque, no action. 10.5K
7,941
95.2K
26.6M","7,941",10.5K,95.2K
Elon Musk,@elonmusk,2023-02-28T22:36:16.000Z,"Periodic reminder to try using Twitter Lists. Will greatly improve your experience. 8,522
24.9K
79.5K
34.2M",24.9K,"8,522",79.5K
Tesla,@Tesla,2023-02-28T19:15:35.000Z,"Tesla Investor Day streaming live on Twitter & YouTube at 3pm CT tomorrow 1,313
3,249
21.4K
40.7M","3,249","1,313",21.4K
Elon Musk,@elonmusk,2023-02-28T17:44:21.000Z,"BasedAI 7,572
5,350
55.8K
20.9M","5,350","7,572",55.8K
Elon Musk,@elonmusk,2023-02-28T02:28:19.000Z,First Starlink v2 satellites reach orbit ,27.2K,13.2K,306.2K
SpaceX,@SpaceX,2023-02-28T01:21:45.000Z,Falcon 9 launches 21  second-generation Starlink satellites to orbit ,"4,810","1,079",38.9K
SpaceX,@SpaceX,2023-02-27T23:14:46.000Z,Liftoff! ,"4,606","1,322",34.2K
SpaceX,@SpaceX,2023-02-27T23:06:51.000Z,"Watch Falcon 9 launch 21 Starlink V2 Mini satellites to orbit → http://spacex.com/launches SpaceX
@SpaceX
Starlink Mission","2,832",656,17.1K
SpaceX,@SpaceX,2023-02-24T10:58:10.000Z,"Crew-6, SpaceX, and 
@NASA
 completed a full rehearsal of launch day activities ","3,701","1,063",32.1K
Elon Musk,@elonmusk,2023-02-24T06:23:17.000Z,"Space Elevator SpaceX
@SpaceX
·
Feb 23
On launch day, when the crew arrives at the pad, they’ll ride the tower elevator to the access arm and board Dragon for their flight to space
Show this thread","8,998","5,863",130.9K
Elon Musk,@elonmusk,2023-02-24T06:01:12.000Z,Check out my spicy   OnlyGANs!! ,23.3K,12.3K,243.1K
Elon Musk,@elonmusk,2023-02-23T07:42:07.000Z,Cybertruck at Tesla Engineering HQ ,12.9K,12.1K,176K
SpaceX,@SpaceX,2023-02-23T04:13:31.000Z,Falcon 9 and Dragon rolling out of the hangar at Launch Complex 39A ,"3,704","1,336",30K
Tesla,@Tesla,2023-02-23T03:21:24.000Z,"In 2022, we grew to 47k direct employees & $5B of capital investment in California. 
 
Today, we’re continuing our investment in California with our new Engineering HQ in Palo Alto  ","2,370","1,487",22.9K
Tesla,@Tesla,2023-02-23T02:21:00.000Z,"Engineering HQ opening streaming live on Twitter at 7pm PT 520
1,401
14.2K
6.4M","1,401",520,14.2K
Tesla,@Tesla,2023-02-22T19:30:32.000Z,"California Engineering HQ—Remarks by Gov. Newsom/Elon Musk 8:40
Tesla
@Tesla
California Engineering HQ—Remarks by Gov. Newsom/Elon Musk","3,903","2,461",17.9K
Elon Musk,@elonmusk,2023-02-22T09:40:41.000Z,High time I confessed I let the Doge out ,20.6K,14.8K,241.7K
Elon Musk,@elonmusk,2023-02-22T09:44:00.000Z,"Fact check me 
@CommunityNotes 1,727
1,505
19.4K
6.1M","1,505","1,727",19.4K
Elon Musk,@elonmusk,2023-02-22T09:20:03.000Z,"Many go woke for the moral cloak 8,875
16.6K
168.5K
41.9M",16.6K,"8,875",168.5K
Elon Musk,@elonmusk,2023-02-22T09:22:40.000Z,"Turning judgment from metoo you 1,579
2,074
28.7K
4.9M","2,074","1,579",28.7K
SpaceX,@SpaceX,2023-02-22T00:40:28.000Z,Available na ngayon ang Starlink sa Pilipinas → http://starlink.com/map ,"4,147","1,104",20.1K
SpaceX,@SpaceX,2023-02-17T19:21:56.000Z,Falcon 9’s first stage has landed on the Of Course I Still Love You droneship ,"4,894","1,335",38.2K
Elon Musk,@elonmusk,2023-02-17T10:47:00.000Z,"What we need is TruthGPT 21.5K
30.2K
301.4K
50.6M",30.2K,21.5K,301.4K
Elon Musk,@elonmusk,2023-02-17T10:21:14.000Z,"Sorry for showing you so many irrelevant & annoying ads on Twitter! 

We’re taking the (obvious) corrective action of tying ads to keywords & topics in tweets, like Google does with search.

This will improve contextual relevance dramatically. 7,788
8,357
127.8K
68.4M","8,357","7,788",127.8K
