Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Elon Musk,@elonmusk,2023-03-27 10:59:56,"To get Blue Check Verified for $7/month, sign up via web at https://T.co/blue 5,003
3,196
19.8K
5.8M","3,196","5,003",19.8K
Elon Musk,@elonmusk,2023-03-27 10:28:54,"Replying to 
@CatherinScience That we extend consciousness to the stars and understand the Universe",421,731,"2,616"
Elon Musk,@elonmusk,2023-03-27 03:48:31,"Given that modern AI can solve any “prove you’re not a robot” tests, it’s now trivial to spin up 100k human-like bots for less than a penny per account.

Paid verification increases bot cost by ~10,000% & makes it much easier to identify bots by phone & CC clustering.

Obvious… Show more 9,064
9,208
77.2K
16.2M","9,208","9,064",77.2K
Elon Musk,@elonmusk,2023-03-27 03:05:24,"It’s more about treating everyone equally. There shouldn’t be a different standard for celebrities imo. William Shatner
@WilliamShatner
·
Mar 26
Hey @elonmusk what’s this about blue checks going away unless we pay Twitter? I’ve been here for 15 years giving my  & witty thoughts all for bupkis. Now you’re telling me that I have to pay for something you gave me for free? What is this-the Colombia Records & Tape Club?","8,206","8,377",71.9K
Elon Musk,@elonmusk,2023-03-27 01:57:41,"Prescient Massimo
@Rainmaker1973
·
22h
Arthur C. Clarke about the future of AI. 
—21 September 1964

[source, BBC Archive: https://buff.ly/40DpIgE]","7,343","3,777",41.7K
Elon Musk,@elonmusk,2023-03-27 01:54:37,Blooper reel must be amazing ,22.8K,"8,050",270.4K
Elon Musk,@elonmusk,2023-03-25 20:53:43,"Big congratulations to the Tesla Germany team!! Tesla
@Tesla
·
Mar 25
Giga Berlin hits 5k builds/week—1 year after delivering the first vehicles to customers
Show this thread","9,694","6,133",115.4K
Elon Musk,@elonmusk,2023-03-18 23:31:48,"This platform is growing fast! 

Just exceeded 8 billion user-minutes per day … of the most influential, smartest people on Earth  17.2K
25.7K
245.6K
29M",25.7K,17.2K,245.6K
Elon Musk,@elonmusk,2023-03-18 21:04:43,"In the coming weeks, Twitter will prioritize replies by:

1. People you follow
2. Verified accounts
3. Unverified accounts

Verified accounts are 1000X harder to game by bot & troll armies.

There is great wisdom to the old saying: “You get what you pay for.” 18.2K
20.9K
140.7K
32M",20.9K,18.2K,140.7K
Elon Musk,@elonmusk,2023-03-18 11:25:45,"Very important thread Matt Taibbi
@mtaibbi
·
Mar 17
1.TWITTER FILES #19
The Great Covid-19 Lie Machine
Stanford, the Virality Project, and the Censorship of “True Stories”
Show this thread",35.1K,"6,506",110.7K
Tesla Europe,@tesla_europe,2023-03-18 10:35:44, at Giga Berlin  ,"2,513","1,078",21.9K
Elon Musk,@elonmusk,2023-03-18 10:34:40,"Engineering is true magic 13.1K
25.3K
182.9K
31.1M",25.3K,13.1K,182.9K
Tesla Europe,@tesla_europe,2023-03-13 17:54:20,"Regenerative braking turns our motors into generators, converting kinetic energy into electricity—recharging your Tesla's battery & slowing down the vehicle

Using the motors instead of friction brake means brake pads last longer & need to be replaced less frequently Theo Lagendijk
@theolagendijk
·
Mar 13
Replying to @BrandonTSLA and @Tesla
Last summer we did a #TeslaModel3 road trip trough Europe. I loved driving the mountains there. Uphill because of the amazing power of the #Tesla. Downhill because of the awesome recharging of the battery by the regenerative breaking. So, mountains in Switzerland for me!","2,131","1,507",19.2K
Elon Musk,@elonmusk,2023-03-12 03:02:47,"Yay!! SpaceX
@SpaceX
·
Mar 12
Splashdown of Dragon confirmed – welcome back to Earth, @AstroDuke, @Astro_Josh, @Astro_Wakata, and Anna!","8,855","7,958",107.2K
Elon Musk,@elonmusk,2023-03-12 01:08:56,"“These are the good old days!” – frens 9,057
10K
92.3K
24.5M",10K,"9,057",92.3K
SpaceX,@SpaceX,2023-03-12 00:58:05,"Watch Dragon and Crew-5 return to Earth → http://spacex.com/launches SpaceX
@SpaceX
Crew-5 Mission | Return","3,172","1,124",19K
Elon Musk,@elonmusk,2023-03-11 11:46:47,"The sum of a cult should be greater than the parts/prophets/profits 9,916
8,667
75.5K
18.6M","8,667","9,916",75.5K
International Space Station,@Space_Station,2023-03-11 07:49:09,"Crew-5 is returning to Earth after undocking from the station in the 
@SpaceX
 Dragon Endurance at 2:20am ET. 
@NASA
 TV coverage of deorbit and splashdown resumes at 8pm ET. More details.. https://go.nasa.gov/3l6gLgE ","3,297","1,237",25.2K
International Space Station,@Space_Station,2023-03-11 05:41:53,"The hatch is now closed between the 
@SpaceX
 Dragon Endurance spacecraft and the space station as the crew prepares for undocking. 
@NASA
 TV coverage resumes at 1:45am ET. More details.. https://go.nasa.gov/3JxyXZU 0:58
1M views","2,486",888,21.1K
Elon Musk,@elonmusk,2023-03-11 05:07:57,Yesterday ,16.7K,"9,734",249.8K
SpaceX,@SpaceX,2023-03-02 04:50:20,Crew-6 is go for launch ,"4,987","1,281",41.2K
SpaceX,@SpaceX,2023-03-02 04:33:50,"Watch Falcon 9 launch Dragon and Crew-6 to the 
@space_station
 → http://spacex.com/launches 1:34:56
909.4K viewers
SpaceX
@SpaceX
Crew-6 Mission | Launch","3,107",528,14.9K
